CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
VIB,2019,3,0.0,0.0,0.0,-6348000000,1264111000000,-2997871000000,0,0,-6589000000,175000000,-2281000000,0,-430469000000,-3430621000000,15762390000000,0,12331769000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2997871000000,4133000000,0,0,0.0,0.0,0.0,0.0,-430531000000,0.0
VIB,2019,2,0.0,0.0,0.0,-213000000,1395886000000,5868714000000,0,0,-12283000000,0,-12200000000,0,0,5856514000000,9905876000000,0,15762390000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5868714000000,83000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2019,1,0.0,0.0,0.0,-3167000000,947703000000,-1385173000000,0,0,-4653000000,0,-4640000000,0,0,-1389813000000,11295689000000,0,9905876000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1385173000000,13000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2018,4,0.0,0.0,0.0,350898000000,1130241000000,-375412000000,0,0,-19446000000,0,-19349000000,0,-265195000000,-659956000000,11955646000000,0,11295690000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-375412000000,97000000,0,0,0.0,0.0,0.0,0.0,-265195000000,0.0
VIB,2018,3,0.0,0.0,0.0,-1993000000,543524000000,2109908000000,0,0,-41461000000,0,-41398000000,0,0,2068510000000,9887136000000,0,11955646000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2109908000000,63000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2018,2,0.0,0.0,0.0,27354000000,1067695000000,-2055093000000,0,0,-6687000000,535000000,8779000000,0,0,-2046314000000,11933450000000,0,9887136000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2055093000000,-3626000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2018,1,0.0,0.0,0.0,8307000000,461923000000,-2056149000000,0,0,-6514000000,0,-4076000000,0,0,-2060225000000,13993675000000,0,11933450000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2056149000000,4592000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2017,4,0.0,0.0,0.0,-6457000000,748511000000,-2004294000000,0,0,-11471000000,32000000,-11439000000,0,-763140000000,-2778873000000,16636467000000,0,13857594000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2004294000000,0,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2017,3,0.0,0.0,0.0,-5022000000,660137000000,5345723000000,0,0,-26256000000,599000000,-28663000000,0,-255182000000,5061878000000,11574589000000,0,16636467000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5345723000000,0,0,0,0.0,0.0,0.0,0.0,-255182000000,0.0
VIB,2017,2,0.0,0.0,0.0,6601000000,470975000000,-921415000000,0,0,-8199000000,750000000,-4443000000,0,-27038000000,-952896000000,12527485000000,0,11574589000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-921415000000,0,0,0,0.0,0.0,0.0,0.0,-27038000000,0.0
VIB,2017,1,0.0,0.0,0.0,392000000,592117000000,-813854000000,0,0,-14153000000,0,-14153000000,0,0,-828007000000,13355492000000,0,12527485000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-813854000000,0,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2016,4,0.0,0.0,0.0,11954000000,298763000000,3620701000000,0,0,285367000000,43375000000,332346000000,799425000000,0,3953047000000,9335544000000,0,13288591000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3620701000000,-83000000,0,0,0.0,0.0,0.0,0.0,-799418000000,0.0
VIB,2016,3,0.0,0.0,0.0,37073000000,-110361000000,-3675680000000,0,0,-25122000000,752000000,-28055000000,0,410793000000,-3292942000000,12628486000000,0,9335544000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3675680000000,2000000,0,0,0.0,0.0,0.0,0.0,410793000000,0.0
VIB,2016,2,0.0,0.0,0.0,150960000000,693826000000,3745172000000,0,0,-35566000000,-8649000000,-35197000000,0,-411552000000,3298423000000,9330063000000,0,12628486000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3745172000000,81000000,0,8735000000,0.0,0.0,0.0,0.0,-411552000000,0.0
VIB,2016,1,0.0,0.0,0.0,35667000000,68347000000,1002919000000,0,0,-8979000000,8737000000,-242000000,0,-272000000,1002405000000,8327658000000,0,9330063000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002919000000,0,0,0,0.0,0.0,0.0,0.0,-272000000,0.0
VIB,2015,4,0.0,0.0,0.0,192237000000,306304000000,3943202000000,0,0,-73819000000,52371000000,-34969000000,595000000000,891000000,3909124000000,4418534000000,0,8327658000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3943202000000,-2000000,-13519000000,0,0.0,0.0,0.0,0.0,-594104000000,0.0
VIB,2015,3,0.0,0.0,0.0,31731000000,194158000000,1442121000000,0,0,41396000000,0,48943000000,0,381543000000,1872607000000,2545927000000,0,4418534000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442121000000,25805000000,-17000000,0,0.0,0.0,0.0,0.0,381543000000,0.0
VIB,2015,2,0.0,0.0,0.0,-34519000000,-111926000000,-346914000000,0,0,-8742000000,2599000000,24720000000,0,-386197000000,-708391000000,3261166000000,0,2552775000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-346914000000,25870000000,4993000000,0,0.0,0.0,0.0,0.0,-386197000000,0.0
VIB,2015,1,0.0,0.0,0.0,-144000000,218301000000,-2020448000000,0,0,-24818000000,16947000000,672000000,0,-29000000,-2019805000000,5280971000000,0,3261166000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2020448000000,341000000,8543000000,0,0.0,0.0,0.0,0.0,-29000000,0.0
VIB,2014,4,0.0,0.0,0.0,724475000000,854507000000,-630273000000,0,0,-20864000000,150000000,880582000000,0,9094000000,259403000000,5021568000000,0,5280971000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-630273000000,1421000000,2996000000,0,0.0,0.0,0.0,0.0,9094000000,0.0
VIB,2014,3,,,,111125000000,-96546000000,160095000000,0,10849000000,-54954000000,0,-21886000000,0,-2583000000,146475000000,4875093000000,0,5021568000000,,,,,,,,,,,,,,,170944000000,-20248000000,2000000,0,,,,,-2583000000,
VIB,2014,2,,,,-25354000000,452518000000,616183000000,0,0,-16611000000,1253000000,3950000000,0,1991000000,622124000000,4252962000000,0,4875086000000,,,,,,,,,,,,,,,616183000000,37046000000,-5000000,0,,,,,1991000000,
VIB,2014,1,,,,67855000000,83071000000,-3804055000000,0,0,-21236000000,0,-2903000000,0,-1991000000,-3808949000000,8061911000000,0,4252962000000,,,,,,,,,,,,,,,-3804055000000,110000000,18223000000,0,,,,,-1991000000,
VIB,2013,4,,,,-79554000000,-203824000000,3291181000000,0,0,331112000000,500000000,-481654000000,0,-917589000000,1891938000000,6169980000000,0,8061918000000,,,,,,,,,,,,,,,3291181000000,71115000000,4498000000,0,,,,,-917589000000,
VIB,2013,3,0.0,0.0,0.0,-108072000000,30861000000,-1557202000000,0,0,-19261000000,490000000,94199000000,0,-67102000000,-1530105000000,7700085000000,0,6169980000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1557202000000,113017000000,1000000,0,0.0,0.0,0.0,0.0,-67102000000,0.0
VIB,2013,2,0.0,0.0,0.0,39021000000,408157000000,1873712000000,0,0,332911000000,4080000000,372894000000,0,99766000000,2346372000000,4378177000000,0,6724549000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873712000000,38878000000,-6000000,0,0.0,0.0,0.0,0.0,99766000000,0.0
VIB,2013,1,0.0,0.0,0.0,17850000000,666781000000,-195999000000,0,0,-386894000000,0,-398634000000,0,-99766000000,-694399000000,5462576000000,0,4768177000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195999000000,5144000000,-3000000,0,0.0,0.0,0.0,0.0,-99766000000,0.0
