CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
BVH,2022,2,422714028519.0,51705603822.0,5772740917732.0,-1205573356.0,0.0,-2463244945158.0,177130972153.0,0.0,3959841003712.0,4239633817206.0,25298857090.0,-8050896745534.0,-128361542823.0,-208446492627.0,-119414832246.0,0.0,-9022921776.0,-269897180116,-52284708786,995247272,-76909687241752,54951279380746,-150000000,0,2909555882060,-19100291440460,0,0,45124173596506,-33378616072004,0,0,0.0,11745557524502,-7624631096074,10762739429706,207107772,3138315441404
BVH,2022,1,625185203966.0,54871024372.0,5326087353028.0,265130989.0,0.0,-2354406977134.0,143379330882.0,0.0,3795381066103.0,-7751652266448.0,-18291363331.0,8061224435667.0,-195786773016.0,-37517661089.0,-114565243922.0,0.0,-38035430051.0,3567436687232,-33583840050,310909091,-5177392433725,5802456732786,0,6559843455,914315970252,1512667181809,0,0,6838191293515,-6509568931287,0,0,0.0,328622362228,5408726231269,5354092025872,-78827435,10762739429706
BVH,2021,4,699169517103.0,58918956891.0,5901059156583.0,1376112458.0,0.0,-2357207925836.0,98790886654.0,0.0,4402106703853.0,124877014203.0,-10831926401.0,-2607196791968.0,-62240758760.0,-78985034166.0,-102579922057.0,0.0,-4212991417.0,1364048393646,-81757429937,814195929,-11427531254749,-2893971285926,0,185658005000,1897294116825,-12319493652858,0,0,22923818346699,-21766247580923,0,-722059177526,0.0,435511588250,-10519933670962,15871856776929,2438672318,5354361778285
BVH,2021,3,579427611517.0,58448351172.0,4648674949362.0,-4702149862.0,0.0,-2058331192229.0,59926183836.0,0.0,3283443753796.0,69274845284.0,-2149109513.0,-183028280012.0,68856432087.0,-157857077427.0,-67120112877.0,0.0,-16067690598.0,2403660140756,-72048915855,217967727,-49958975342813,47190334348315,323457385000,0,1971141781155,-545872776471,0,0,20215160644460,-9058530633249,0,0,0.0,11156630011211,13014417375496,2860226530581,-2787129148,15871856776929
BVH,2021,2,532183627311.0,58435096089.0,4595792573019.0,133213437.0,0.0,-2382240625366.0,37737970263.0,0.0,2842173401565.0,-513770394867.0,-7754757306.0,1337554383057.0,43398822914.0,-69290016923.0,-91428353298.0,0.0,-3919555407.0,3661208166989,-40255059854,461850000,-17174798275465,14136808538286,-323457385000,-2371648844864,4519510209094,-1253378967803,0,0,3525335648737,-7451217856445,0,-615600,0.0,-3925882823308,-1518053624122,4378343201837,-63047134,2860226530581
BVH,2021,1,592916377788.0,50525706919.0,4707051762775.0,-2653241385.0,0.0,-2202918485385.0,123061418631.0,0.0,3267983539343.0,-1009167353824.0,-10442900870.0,165826992742.0,162616394471.0,-114643715015.0,-77539981602.0,0.0,-35012277897.0,2720315098621,-42077957272,69090909,-15571426236950,13319006203493,-4425975843,2371648844864,0,72793969201,0,0,3364836650000,-8560107800903,0,0,0.0,-5195271150903,-2402162083081,6780610816944,-105532026,4378343201837
BVH,2020,4,549635705345.0,52942809948.0,5191874669961.0,156309346.0,0.0,-2304985745997.0,142593833911.0,0.0,3632217582514.0,-1636893144686.0,5577506609.0,2516732696474.0,168710879554.0,-422433268820.0,-69510247242.0,0.0,-86581038545.0,4223178911684,-41910955036,211731275,-24865379051396,27389303451776,-49226492500,0,2594264738973,5027263423092,0,0,5920617810000,-10248635168530,0,-1318992792209,0.0,-5647010150739,3603432184037,3177059990629,118642278,6780610816944
BVH,2020,3,554539245010.0,51038537705.0,5015918936192.0,-3677844594.0,0.0,-2300600418212.0,173482397950.0,0.0,3490700854051.0,998239774324.0,6573942481.0,-1100176254020.0,98911411957.0,-104145658139.0,-66175303893.0,0.0,-11830559271.0,3425557925320,-50583449532,213989091,-24517576583333,18086554954660,0,0,1802211142424,-4679179946690,0,0,6178729420000,-3643510197286,0,0,0.0,2535219222714,1281597201344,1895051775356,411013929,3177059990629
BVH,2020,2,609714196943.0,53003201798.0,4308299475475.0,-4191079601.0,0.0,-2802054824729.0,195309745173.0,0.0,2360080715059.0,-3819127808.0,-3444526112.0,274180659925.0,377088035314.0,-109907939727.0,-53327435452.0,0.0,-13067759491.0,3123154726112,-87808057330,129973181,-22757319069206,17231264081148,0,0,2524389209783,-3089343862424,0,0,1246743800000,-2273573278858,0,-13778237429,0.0,-1040607716287,-1006796852599,2902042053661,-193425706,1895051775356
BVH,2020,1,186950208411.0,49442129260.0,3804965208580.0,3778904741.0,0.0,-2104743978911.0,185091175245.0,0.0,2125483647326.0,-39886295742.0,-4393886950.0,106324008285.0,120381632374.0,-108793671507.0,-48769088762.0,0.0,-41972093416.0,1965826694300,-14563006622,177419546,-15729360286337,8944737846139,0,0,1550750744020,-5248257283254,0,0,4104415170000,-2663368894613,0,0,0.0,1441046275387,-1841384313567,4742602123821,824243407,2902042053661
