CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
STB,2024,4,0.0,0.0,0.0,-179405000000,4667919000000,21088311000000,0,-1714000000,-384666000000,894000000,-382804000000,0,1257065000000,21960858000000,84438705000000,93492000000,106493055000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21086597000000,968000000,0,0,0.0,0.0,0.0,0.0,0,0.0
STB,2024,3,0.0,0.0,0.0,-31873000000,3927959000000,-9427790000000,0,-407023000000,-211730000000,3747000000,-206718000000,0,-448648000000,-10490179000000,94927505000000,1379000000,84438705000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9834813000000,1265000000,0,0,0.0,0.0,0.0,0.0,1000000,0.0
STB,2024,2,0.0,0.0,0.0,9517000000,2585507000000,14298414000000,0,-164922000000,-221901000000,0,-220895000000,0,36213000000,13948810000000,81052016000000,-73321000000,94927505000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14133492000000,634000000,0,372000000,0.0,0.0,0.0,0.0,-2000000,0.0
STB,2024,1,0.0,0.0,0.0,-13412000000,871410000000,13270385000000,0,-290413000000,-197563000000,0,-197483000000,0,-2303904000000,10478585000000,70507716000000,65715000000,81052016000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12979972000000,80000000,0,0,0.0,0.0,0.0,0.0,0,0.0
STB,2023,4,0.0,0.0,0.0,169015000000,1911754000000,-660809000000,0,-592000000,-1144798000000,806000000,-1141530000000,0,-3348000000,-1806279000000,72549052000000,-235057000000,70507716000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-661401000000,2462000000,0,0,0.0,0.0,0.0,0.0,0,0.0
STB,2023,3,0.0,0.0,0.0,12059000000,5072079000000,9793229000000,0,-8188000000,457373000000,10437000000,472582000000,0,-6394000000,10251229000000,61981641000000,316182000000,72549052000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9785041000000,4772000000,0,0,0.0,0.0,0.0,0.0,-22000000,0.0
STB,2023,2,0.0,0.0,0.0,39908000000,6101429000000,8322700000000,0,-473000000,-303776000000,-1000000,-302760000000,0,-2927000000,8016540000000,54114391000000,-149290000000,61981641000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8322227000000,1017000000,0,0,0.0,0.0,0.0,0.0,-1000000,0.0
STB,2023,1,0.0,0.0,0.0,22945000000,4965053000000,9301410000000,0,-815000000,-291498000000,11595000000,-278233000000,0,-24435000000,8997927000000,45104295000000,12169000000,54114391000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300595000000,1670000000,0,0,0.0,0.0,0.0,0.0,-3000000,0.0
STB,2022,4,0.0,0.0,0.0,12699000000,3798449000000,4281479000000,0,-609000000,-458760000000,6000000,593425000000,0,-145631000000,4728664000000,40381684000000,-6053000000,45104295000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4280870000000,1052179000000,0,0,0.0,0.0,0.0,0.0,-158000000,0.0
STB,2022,3,0.0,0.0,0.0,-5921000000,5247837000000,641005000000,0,-6830000000,-316411000000,2549000000,-313516000000,0,589495000000,910154000000,39541014000000,-69484000000,40381684000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634175000000,346000000,0,0,0.0,0.0,0.0,0.0,-2000000,0.0
STB,2022,2,0.0,0.0,0.0,83042000000,6365835000000,3245268000000,0,-5812000000,-251472000000,745000000,1532442000000,0,-7559000000,4764339000000,34858609000000,-81934000000,39541014000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3239456000000,1783169000000,0,0,0.0,0.0,0.0,0.0,0,0.0
STB,2022,1,0.0,0.0,0.0,202378000000,3861666000000,7360838000000,0,-163000000,-115887000000,9166000000,-96394000000,0,-448078000000,6816203000000,28070625000000,-28219000000,34858609000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7360675000000,10327000000,0,0,0.0,0.0,0.0,0.0,-13000000,0.0
STB,2021,4,0.0,0.0,0.0,-160845000000,4737577000000,-3047918000000,0,-508000000,-233415000000,-37320000000,-228682000000,0,-7000000,-3277115000000,31327414000000,20326000000,28070625000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3048426000000,4734000000,0,37319000000,0.0,0.0,0.0,0.0,-6000000,0.0
STB,2021,3,0.0,0.0,0.0,-89262000000,2465230000000,-5644876000000,0,-5866000000,-41843000000,37766000000,399481000000,0,2434949000000,-2816312000000,34219050000000,-75324000000,31327414000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5650742000000,264858000000,0,138700000000,0.0,0.0,0.0,0.0,-1000000,0.0
