CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
SAB,2022,1,22424394009889,3249582254803,16380342884932,685098321685,1961014874510,148355673959,7462739248913,4000000000,4306361061890,40800698049,2052178967052,0,474151925225,29887133258802,7064801914122,6384329756107,680472158015,22822331344680,22822331344680,3208666226,13836218972646,0,1421307800904,29887133258802,61668160023,0,2041792462761,0,1122241373127,6412811860000,6412811860000,0,389597476842,306866538827,396382283875,0,273773870396,434314271916,42188530291,12868550386
SAB,2021,4,22877033322264,3606454403209,16991239000000,467956130071,1668001734209,143382054775,7609991050161,4000000000,4401799818086,41270248842,2125162874416,0,477646364587,30487024372425,7892238669264,7258020535153,634218134111,22594785703161,22594785703161,3208666226,13655871142263,0,1373313368684,30487024372425,29859261503,0,1755711816417,0,1122241373127,6412811860000,6412811860000,0,341226010423,63252571190,321746371972,0,263131483984,434314271916,41960830291,12640850386
SAB,2021,3,20870073057046,3293465550027,15359384000000,689403181791,1376294447557,151525877671,7557811392172,4000000000,4517272201429,63464937249,2059890037810,0,423254010239,28427884449218,5860662708348,5025238662869,835424045479,22567221740870,22567221740870,3208666226,13661183387832,0,1340212422055,28427884449218,49386402889,0,1477909518551,0,1122241373127,6412811860000,6412811860000,0,374607501927,71658709588,385154514117,0,259640520341,449306380116,42705030291,13385050386
SAB,2021,2,20949993263440,3150402298104,15290579000000,645779821564,1643625345322,219606798450,7610641121460,4000000000,4644102343326,64034541063,2055599187932,0,466034097649,28560634384900,6399615138821,5473586408794,926028730027,22161019246079,22161019246079,3208666226,13254828722458,0,1340152433723,28560634384900,79336601196,0,1721168276692,0,1122241373127,6412811860000,6412811860000,0,455388676823,72798033421,362722944809,0,283748803693,449306380116,42659030291,13339050386
SAB,2021,1,19224902005825,2780498994394,13570529000000,595353569509,2046533551293,231986890629,7764257717816,4000000000,4739652434736,64604144877,2186872947065,0,506807949479,26989159723641,5808139972715,4846369155607,961770817108,21181019750926,21181019750926,3208666226,12283306584806,0,1330440189574,26989159723641,121140700261,0,2123424732828,0,1122241373127,6412811860000,6412811860000,0,478042585268,66543685676,403563328939,0,298301440939,449306380116,42488030291,13168050386
SAB,2020,4,19513381452440,2726137088387,14547419432877,590846416109,1446832994933,202145520134,7861591322918,4000000000,4874503649521,65173748670,2351285997476,0,530530707659,27374972775358,6159696384430,5173043219872,986653164558,21215276390928,21215276390928,3208666226,12374498805733,0,1275045554465,27374972775358,164204071490,0,1525038920678,0,1122846170630,6412811860000,6412811860000,0,526263958457,64714811339,448791959859,0,330639468712,665885700116,41278370471,11958390566
SAB,2020,3,19987611807533,3173374778621,14320669432877,683492320624,1703797088251,106278187160,7698848831300,4000000000,4826210959544,65840310748,2276130775566,0,503911233248,27686460638833,6640936323872,5837027977099,803908346773,21045524314961,21045524314961,3208666226,12238105368821,0,1240441599623,27686460638833,178668609412,0,1852495391720,0,1122834056347,6412811860000,6412811860000,0,409992120000,316491727743,566354775300,0,284812118627,665885700116,35292461371,5907050566
SAB,2020,2,18413850495012,4864813951649,11165486789096,696475952856,1563239928847,123833872564,7745498181277,4000000000,4915522815422,66509360053,2203520608908,0,500606830571,26159348676289,6417635456293,5573385094445,844250361848,19741713219996,19741713219996,3208666226,10876152357319,0,1298425684877,26159348676289,42027030769,0,1750219687545,0,1122834056347,6412811860000,6412811860000,0,459456327274,101091796404,445912909719,0,296388205207,665885700116,35891988834,6506578029
SAB,2020,1,16346544224916,2447101994565,10824541791369,642624842634,2256885560175,175390036173,7840025726497,4000000000,4648518350088,67178409358,2157288522438,0,562998709798,24186569951413,5699870082414,4816868251712,883001830702,18486699868999,18486699868999,3208666226,9656784992051,0,1255196441729,24186569951413,60253994024,0,2455702115734,0,1130372829157,6412811860000,6412811860000,0,494244987274,39101765099,591938871910,0,323898986625,665885700116,37391657734,8006246929
SAB,2019,4,19164602511633,4115884646637,12393226750273,568608377917,1967137719907,119745016899,7797873582412,4000000000,4685440455287,58433154033,2162738822723,0,574377366136,26962476094045,6886229037681,6087830053039,798398984642,20076247056364,20076247056364,3208666226,11231596467620,0,1270984359590,26962476094045,54679363371,0,2169540753708,0,1130372829157,6412811860000,6412811860000,0,494244987274,42587372642,560511063296,0,328604633780,665885700116,38495491774,9110080969
